media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,desvio0,desvio1,desvio2,desvio3,desvio4,desvio5,desvio6,desvio7,desvio8,desvio9,desvio10,desvio11,desvio12,classe
2.648162,-1.166946,-0.245292,-1.551536,-0.262515,-0.012203,0.393715,-0.277774,0.237287,0.745029,0.576653,-0.095198,-0.056263,2.818305,1.420536,0.542480,1.611533,0.475975,0.483533,0.631074,0.607369,0.607874,0.933863,0.745217,0.394379,0.499674,street_music
1.992490,-1.119815,0.171882,-1.283525,0.015397,0.557868,0.489898,-0.637100,-0.043415,0.641612,0.577420,-0.055181,0.516899,1.712202,1.780596,0.934027,1.876798,0.678683,0.448335,0.417387,1.226853,0.703425,0.412307,0.405859,0.697527,0.445539,street_music
3.051605,-2.299190,0.224825,-1.520405,0.056201,-0.031458,0.564551,-0.244920,0.366306,0.903983,0.507085,-0.274862,0.375237,2.884116,2.783011,0.617832,2.000484,0.542840,0.656504,0.458197,0.749233,0.422039,0.665006,0.401165,0.746762,0.451955,street_music
3.938770,-1.667212,-0.248165,-0.554802,0.378655,0.743839,0.662692,-0.701340,-0.107576,0.659091,0.469032,-0.136877,0.558278,3.466274,2.280240,0.946991,1.205191,0.437255,0.427418,0.407188,1.326263,0.765167,0.378912,0.350675,0.788529,0.338725,street_music
3.326156,-1.590884,-0.455603,-0.748263,0.442075,0.628852,0.363975,-0.707588,-0.083174,0.558382,0.371752,-0.217321,0.478730,2.940652,2.130931,1.053306,1.305185,0.357518,0.378638,0.373367,1.256920,0.682433,0.368571,0.340316,0.778002,0.336523,street_music
2.937451,-1.712482,-0.349684,-1.451505,-0.078618,0.242516,0.412669,-0.446460,0.272680,0.717254,0.288998,-0.316649,0.229172,2.834166,2.086658,0.796615,1.734567,0.480632,0.687969,0.492966,0.859615,0.519128,0.610080,0.368713,0.641917,0.440156,street_music
5.506965,-3.786824,0.499366,-0.429627,-0.604776,-0.741284,-0.925358,-0.543360,-0.739287,-0.323889,-0.046135,-0.079087,0.362829,5.301970,4.298050,0.725937,1.059838,1.155993,1.190614,1.374001,1.017811,1.190097,0.808417,0.556604,0.608963,0.450768,street_music
5.267752,-3.111588,1.001054,-1.041427,-0.121429,-0.497246,-0.568062,-0.239782,-0.498716,-0.270621,0.035080,-0.114575,0.320564,5.118456,3.531382,0.881090,1.511449,0.657483,0.925936,1.113966,0.738957,1.016760,0.704782,0.485922,0.601739,0.388533,street_music
5.978732,-3.539855,0.641028,-0.839368,-0.877854,-0.654820,-0.933687,-0.312995,-0.680404,-0.629705,-0.293858,-0.187376,0.408693,5.696227,4.038322,0.855955,1.536114,1.445699,1.163244,1.434590,0.851533,1.176673,1.119429,0.817181,0.705904,0.381005,street_music
5.737339,-3.247469,0.796023,-0.442890,-0.802721,-0.718104,-1.051262,-0.498674,-0.819460,-0.673281,-0.289059,-0.231775,0.289327,5.551231,3.626075,0.829374,1.042270,1.296708,1.087436,1.426079,0.946327,1.232681,1.044493,0.710707,0.644486,0.358583,street_music
5.770751,-2.948250,0.990497,-0.295887,-0.464628,-0.466149,-0.864372,-0.602532,-1.035747,-0.503633,-0.020573,-0.254839,0.269370,5.576793,3.346603,0.992423,0.865031,0.882213,0.825742,1.237836,1.004113,1.395516,0.889465,0.541033,0.651019,0.368359,street_music
5.556305,-2.998619,1.156593,-0.763509,-0.618648,-0.427956,-0.602978,-0.384194,-0.711006,-0.348340,-0.097443,-0.216435,0.331858,5.441163,3.508995,1.208903,1.408145,1.144947,0.905931,1.057557,0.827525,1.175685,0.786093,0.641408,0.658656,0.361207,street_music
5.167821,-3.803284,0.379896,-1.167569,-0.995185,-0.396250,-0.465863,-0.095313,-0.301920,-0.356441,-0.233409,-0.061814,0.416579,4.969194,4.300106,0.977582,1.783274,1.590655,0.947229,1.009603,0.709607,0.818375,0.893269,0.783746,0.593674,0.401018,street_music
6.635615,0.110559,1.500787,-0.698795,0.074705,-0.531761,0.079251,-0.334210,-0.223489,-0.230436,-0.502914,-0.422868,-0.435892,7.194826,0.802494,2.064325,0.559328,0.653787,0.394529,0.650075,0.435477,0.467795,0.442691,0.386753,0.382981,0.364363,street_music
7.446151,-0.455584,1.046670,-0.957212,-0.197357,-0.607064,0.097055,-0.225699,-0.242383,-0.449020,-0.482305,-0.296997,-0.454855,8.019931,0.682532,1.751992,0.799578,0.524693,0.470737,0.759960,0.526260,0.493570,0.384623,0.372864,0.427445,0.381716,street_music
5.502094,0.279356,1.690526,-0.956844,0.002203,-0.873004,-0.080389,-0.641782,-0.362867,-0.333310,-0.435108,-0.471714,-0.450981,6.159916,1.134471,2.269384,0.699761,0.637027,0.599652,0.527201,0.429547,0.342812,0.346898,0.312364,0.322443,0.325818,street_music
6.493116,-0.210301,1.336999,-0.840514,0.035915,-0.524271,-0.025520,-0.454962,-0.297110,-0.220055,-0.451609,-0.329691,-0.394228,6.984751,0.655255,1.841237,0.790718,0.655389,0.438339,0.540144,0.429375,0.363478,0.358632,0.354026,0.361326,0.356904,street_music
6.145960,0.078117,0.766170,-1.152584,-0.051208,-0.782697,-0.129395,-0.397855,-0.069638,-0.470974,-0.286225,-0.392942,-0.461387,6.720203,0.888604,1.421076,0.851474,0.630224,0.525023,0.557199,0.404335,0.530492,0.326651,0.379486,0.334503,0.390540,street_music
7.137355,-0.034680,0.717005,-1.209648,-0.122839,-0.448311,0.011204,-0.541409,-0.380259,-0.389594,-0.521619,-0.503765,-0.555714,7.784491,0.935771,1.471642,0.836689,0.691883,0.481287,0.740791,0.405944,0.433712,0.387131,0.335464,0.366745,0.342677,street_music
5.886581,-5.978330,2.208893,-1.527603,2.298381,-0.478614,-0.222881,0.309581,-0.276416,1.007854,-0.471777,0.310629,-0.737232,6.753407,5.384672,3.105484,1.160634,3.124456,0.695052,0.734445,1.148848,0.647006,1.800936,0.497651,1.136642,0.427346,street_music
5.582435,-6.081525,2.129718,-1.816006,2.087473,-0.675078,-0.381079,0.303711,-0.301438,0.997430,-0.531206,0.250056,-0.775947,6.466113,5.451527,3.041021,1.372329,2.955908,0.669994,0.635267,1.181110,0.670519,1.822666,0.522340,1.114694,0.431775,street_music
5.526978,-6.178962,2.084444,-2.079310,2.076997,-0.813379,-0.532099,0.160438,-0.400375,0.858850,-0.628290,0.242274,-0.769904,6.437326,5.545964,3.057615,1.609122,2.973497,0.663327,0.609166,1.031337,0.610058,1.681088,0.472099,1.098015,0.485378,street_music
4.947589,-5.947267,2.087680,-2.063479,2.240782,-0.975268,-0.308050,-0.024313,-0.378742,0.777668,-0.610793,0.283298,-0.869958,5.992952,5.214011,3.209862,1.496295,3.213361,0.686922,0.844368,0.987706,0.706525,1.712498,0.510048,1.246429,0.490651,street_music
4.508113,-5.950664,2.372799,-2.383416,2.318118,-1.163877,-0.085481,-0.069707,-0.381222,0.877605,-0.611888,0.467287,-0.888788,5.578200,5.216351,3.438315,1.748998,3.308630,0.744160,1.053127,0.959058,0.707526,1.824470,0.531359,1.426163,0.430178,street_music
4.499161,-5.986176,2.577511,-2.372792,2.587271,-1.145851,0.191892,-0.002600,-0.345616,1.115679,-0.570603,0.458896,-1.012192,5.674786,5.104882,3.729717,1.640497,3.702193,0.700259,1.327342,1.134000,0.807612,2.190318,0.637077,1.537927,0.428611,street_music
8.526815,0.968919,-2.536954,-2.226105,-0.831209,-1.521563,-1.137886,-0.668116,-0.950664,-0.340605,-0.777345,-0.025895,-0.240433,8.890306,1.598423,2.536919,2.097720,0.969332,1.455355,1.056108,0.802281,0.975526,0.522847,0.712542,0.491430,0.490113,street_music
7.944970,1.300691,-2.540834,-2.538613,-1.462293,-2.146384,-1.481802,-0.488154,-0.398765,0.069366,-0.603649,0.250808,0.080487,7.976112,1.434696,2.758666,2.724806,1.724296,2.316806,1.675335,0.743615,0.663633,0.395037,0.805819,0.436712,0.390664,street_music
7.604629,1.748294,-1.199031,-0.939135,-0.074708,-1.427372,-1.439348,-1.019515,-0.927908,-0.256513,-1.013290,-0.386281,-0.631287,8.293958,2.544082,0.988079,1.007533,1.438374,1.196098,1.009497,0.661841,0.552569,0.515611,0.571670,0.410971,0.383028,street_music
6.346047,0.474198,-0.628010,-1.933645,-0.960533,-1.809969,-1.336441,-0.668032,-0.741136,-0.500393,-0.762117,-0.259914,-0.426937,6.900769,1.245058,0.930231,1.863880,0.830354,1.496018,1.056074,0.538244,0.523508,0.425003,0.499459,0.427321,0.423340,street_music
8.624428,0.067442,-2.948382,-2.112087,-0.769893,-1.422654,-1.064338,-0.275733,-0.425887,-0.020054,-0.428590,0.291573,-0.155646,8.908458,1.157681,2.990963,2.125030,1.231295,1.461246,1.158258,0.611096,0.611656,0.552203,0.519432,0.586017,0.418486,street_music
6.805703,-5.594166,-1.781513,-2.438376,0.430527,-0.676011,-0.219959,0.116557,-1.007903,-0.389315,-1.130037,-0.068531,-0.367620,7.314324,5.418458,2.195067,2.266452,1.102369,0.801377,0.498439,0.686137,0.778055,0.445626,0.874195,0.564236,0.401766,street_music
6.781802,-5.996008,-1.532806,-2.393149,0.401679,-0.572119,-0.163623,0.135531,-0.782952,-0.197197,-1.099129,-0.094580,-0.522605,7.478238,5.759553,1.646462,2.102209,1.170202,0.718997,0.649085,0.843348,0.555256,0.526097,0.740408,0.623924,0.416657,street_music
6.791326,-5.634416,-1.433741,-2.460438,0.311773,-0.599305,-0.050935,0.127274,-0.908370,-0.273454,-1.120639,-0.065535,-0.563770,7.510308,5.442076,1.804273,2.152919,1.149493,0.751818,0.779977,0.866843,0.630095,0.582540,0.719549,0.660970,0.448572,street_music
6.629828,-5.797322,-1.417237,-2.347922,0.277365,-0.552282,-0.009143,0.167674,-0.938765,-0.281034,-1.139128,-0.097493,-0.668101,7.466048,5.441797,1.731882,1.966732,1.204697,0.758309,0.862485,0.949295,0.558420,0.653508,0.651803,0.720381,0.481207,street_music
6.358961,-5.504074,-0.522202,-2.828816,0.931776,-1.125222,-0.180159,0.021982,-1.059241,-0.075610,-1.113234,-0.012906,-0.688091,7.220144,5.045109,1.818546,2.404151,1.837097,0.934203,0.752677,0.899357,0.642165,0.775871,0.622692,0.812830,0.452038,street_music
6.680174,-5.389871,-1.378709,-2.562362,0.678674,-0.752822,-0.060734,-0.015085,-1.180228,-0.371506,-1.058392,-0.068165,-0.561241,7.396075,5.032286,2.010231,2.201575,1.438883,0.822228,0.760916,0.753562,0.767586,0.564654,0.638821,0.652329,0.489395,street_music
4.385069,-2.188486,0.861711,-1.671367,-0.800247,-1.137357,-1.120712,-0.942084,-0.907182,-0.880788,-0.460680,-0.575531,-0.507388,5.056499,1.840792,1.484294,1.265991,0.512175,0.761789,0.724891,0.608662,0.561899,0.542963,0.367146,0.375973,0.353998,street_music
6.218835,-2.003751,0.858375,-0.695184,-0.026804,-0.311543,-0.488177,-0.449080,-0.683126,-0.782150,-0.570629,-0.351401,-0.319697,6.678685,1.968380,1.392934,0.846809,0.582190,0.526153,0.482541,0.422303,0.553444,0.608577,0.435810,0.355626,0.342459,street_music
5.955115,-2.343606,0.343944,-1.474597,-1.003619,-1.311654,-1.323478,-1.231234,-1.454008,-0.620009,-0.303544,-0.482806,-0.466005,6.536436,2.104507,1.073187,1.143924,0.790092,0.989449,0.979168,0.950066,1.167293,0.461319,0.556661,0.432916,0.407273,street_music
5.815776,-2.570987,0.367657,-1.535768,-0.973095,-1.184575,-1.260492,-1.291226,-1.538722,-0.693013,-0.385091,-0.460983,-0.310801,6.280860,2.485128,1.024323,1.386281,0.909926,1.036370,1.058974,1.128181,1.377418,0.597667,0.636498,0.469534,0.419386,street_music
6.536667,-2.775737,-0.190896,-1.571063,-1.097459,-1.111099,-1.382940,-1.193171,-1.341086,-0.758592,-0.707504,-0.511532,-0.223919,6.922075,2.681731,0.886246,1.548255,1.124174,1.052018,1.265736,1.093016,1.240351,0.726847,0.666953,0.512325,0.423364,street_music
4.225692,-2.116324,0.900400,-1.688452,-0.469203,-0.852224,-0.903253,-0.840542,-0.853986,-0.793135,-0.489352,-0.514198,-0.414523,4.803068,1.897075,1.434286,1.383968,0.536724,0.630424,0.618915,0.565911,0.578977,0.508569,0.337945,0.366777,0.355139,street_music
6.964208,2.865396,1.003376,0.186028,0.238712,0.253509,0.286018,-0.150987,-0.198035,0.608086,0.679324,0.648526,0.556759,6.585527,2.449404,0.845488,0.800669,0.681689,0.725699,0.546343,0.875857,0.898169,0.431648,0.405591,0.425936,0.435010,street_music
7.623497,2.666180,0.662970,-0.001329,0.125098,0.134334,0.022119,-0.175643,-0.152098,0.649669,0.750643,0.703175,0.474183,7.305833,2.356909,0.758463,0.859779,0.652016,0.698305,0.694655,0.819532,0.794705,0.418696,0.446358,0.441132,0.455100,street_music
8.161057,2.336643,0.122564,-0.278311,-0.279186,-0.271294,-0.500725,-0.408898,-0.301135,0.501926,0.627606,0.717079,0.468824,7.854688,1.992891,0.634032,0.940660,0.973312,0.907430,1.095035,1.035169,0.916540,0.398342,0.364241,0.438108,0.453676,street_music
8.914025,2.247654,-0.251200,-0.642543,-0.856074,-0.628754,-0.675859,-0.592216,-0.559739,0.475554,0.561818,0.596031,0.246720,8.807898,2.116063,0.736456,1.113174,1.363206,1.027177,1.010497,0.969078,0.959067,0.484384,0.514023,0.571614,0.622740,street_music
9.356112,2.355802,-0.403859,-1.116265,-1.309090,-0.888708,-0.633598,-0.603666,-0.729909,0.191444,0.239591,0.240531,-0.046288,9.519132,2.525241,0.611683,1.186886,1.365817,0.957445,0.731632,0.701532,0.835250,0.572088,0.577088,0.495299,0.412096,street_music
9.167376,2.541024,-0.285529,-1.226651,-1.345301,-0.810969,-0.654854,-0.652318,-0.737389,0.039421,-0.062550,0.074146,0.068812,9.203314,2.584969,0.587326,1.368812,1.496157,1.009882,0.844861,0.808044,0.895024,0.415197,0.385816,0.351956,0.357589,street_music
7.575283,2.952277,0.882862,0.562682,0.121425,-0.170756,0.150982,0.595913,0.433511,0.196136,-0.370008,-0.187044,-0.072296,7.763759,3.122619,1.130518,0.835977,0.518382,0.463349,0.471425,0.781896,0.641143,0.549475,0.682544,0.563201,0.408949,street_music
8.873770,2.849605,0.383566,0.756395,-0.243640,-0.609107,-0.670852,0.001931,-0.109484,-0.169898,-0.510178,-0.133670,-0.034059,9.002082,3.063070,0.810921,1.018289,0.580172,0.742127,0.815881,0.524292,0.487233,0.447837,0.673419,0.523059,0.456307,street_music
8.305135,3.127222,0.835778,1.019513,0.215223,-0.133492,-0.332679,0.309025,0.167935,0.175364,-0.380038,-0.148706,0.048279,8.439202,3.209105,1.064090,1.122505,0.533208,0.558414,0.595610,0.533783,0.482252,0.461078,0.680673,0.589536,0.453191,street_music
8.702118,3.354370,0.726249,0.567511,-0.512751,-0.700730,-0.690983,0.183683,0.149656,0.074729,-0.398883,-0.114464,-0.082216,8.896732,3.646073,0.998988,0.897456,0.665392,0.759672,0.763582,0.569997,0.496289,0.457626,0.559704,0.441449,0.383963,street_music
8.972825,3.454332,0.582282,0.366565,-0.338757,-0.535790,-0.625711,-0.067310,-0.168495,-0.066129,-0.511382,-0.235700,-0.107939,9.175877,3.648590,0.953098,0.693449,0.507701,0.604750,0.663532,0.365745,0.433679,0.433362,0.571640,0.443705,0.421278,street_music
8.929479,3.246453,0.282212,0.269004,-0.459326,-0.820107,-0.795135,0.026520,0.281850,0.000392,-0.387356,-0.227326,-0.104139,9.115745,3.464497,0.638187,0.624145,0.612911,0.829208,0.784902,0.475624,0.584324,0.411167,0.547556,0.441665,0.396512,street_music
5.725018,-0.543171,0.783722,0.767471,0.321620,-0.279883,0.134104,0.158249,0.329752,0.454710,0.430841,0.196645,-0.022130,5.820490,1.029180,0.974021,0.965450,0.618447,0.583683,0.548788,0.502026,0.581320,0.671868,0.663086,0.588218,0.483608,street_music
5.750876,0.832701,1.085889,0.325742,-0.011003,-0.312502,-0.019138,-0.238931,-0.169576,0.065272,0.103545,0.137868,-0.059912,5.884861,1.220705,1.276596,0.686658,0.418385,0.634161,0.455157,0.463108,0.476583,0.428580,0.439856,0.415364,0.393799,street_music
5.477863,-0.050019,0.880894,0.693276,0.544368,-0.148197,0.054850,0.053985,0.325374,0.401944,0.348760,0.128865,0.004165,5.551328,0.984467,1.074921,0.875955,0.700071,0.478932,0.425033,0.422253,0.520634,0.607695,0.568998,0.513087,0.486301,street_music
4.555058,0.243560,0.782531,0.100838,0.022522,-0.453678,0.090930,-0.082379,0.266690,0.221489,0.127591,0.294754,0.081434,4.589001,0.765482,0.883769,0.474855,0.557475,0.697648,0.522537,0.522523,0.468197,0.440822,0.383820,0.547381,0.395317,street_music
5.787069,0.543182,0.743381,0.485532,0.530849,0.088877,0.077777,-0.177717,0.063386,0.242507,0.256076,0.392487,0.268507,5.596600,1.110349,0.813682,0.489793,0.564621,0.517997,0.487084,0.577238,0.484583,0.443853,0.390841,0.371812,0.371175,street_music
5.812743,-1.116263,0.694946,0.289902,-0.213254,0.037163,0.072314,-0.251203,-0.075200,0.435062,0.547860,0.286460,-0.385576,6.263216,1.354962,1.173175,0.825539,0.539160,0.629532,0.646447,0.439926,0.505702,0.976959,1.030292,0.831781,0.521744,street_music
5.925496,-1.552757,0.432020,0.262511,-0.260100,-0.096275,0.004888,-0.074375,0.080441,0.480588,0.400333,0.174896,-0.663370,6.648725,1.144557,1.204754,1.066370,0.617844,0.718362,0.819329,0.788707,0.867926,1.254055,1.198117,1.106682,0.450038,street_music
2.244343,2.471066,2.132712,-0.652446,1.932420,-0.418700,0.485255,0.114069,-0.493136,1.023693,-0.343882,1.179873,-0.116238,3.511171,2.899337,2.484199,0.880639,2.187732,0.677816,0.870072,0.692126,0.628752,1.238146,0.561490,1.384561,0.438112,street_music
3.809460,0.692020,0.493457,-0.934061,1.680337,-1.086897,-0.050180,-0.364207,-0.548531,0.716210,-0.376732,1.003559,-0.114322,4.660383,1.590427,1.011208,1.083063,1.893805,1.116079,0.806182,0.823370,0.703309,0.954433,0.487014,1.259402,0.514054,street_music
3.526241,0.914036,1.409144,-0.813011,1.252735,-1.135401,0.285983,-0.092968,-0.604897,0.684310,-0.329535,0.989829,-0.261265,4.535326,1.949580,1.935192,1.148772,1.798679,1.110887,0.881922,0.718627,0.623634,1.125903,0.489311,1.379249,0.497139,street_music
3.794859,1.860798,1.587516,-0.827463,1.809641,-0.457466,0.522085,0.294511,-0.143902,1.041062,-0.162882,0.992499,0.065587,4.490128,2.379730,1.925256,1.265874,1.953812,0.917971,0.961073,0.816135,0.613622,1.152741,0.555032,1.063606,0.476677,street_music
3.602763,0.749292,1.370910,-0.703887,1.529694,-0.906636,0.093675,-0.343106,-0.485969,0.861271,-0.255722,1.075920,-0.138652,4.475989,1.820759,1.916166,0.993420,1.887950,1.073100,0.805005,0.622729,0.680019,1.176499,0.554947,1.321114,0.486181,street_music
3.258665,0.334721,0.347005,-1.291142,1.397460,-0.818056,0.242893,-0.097097,-0.849681,0.615732,-0.531360,0.979213,-0.027054,3.855700,1.247094,0.855634,1.452435,1.539370,0.926549,0.624753,0.554839,0.962739,0.810854,0.767257,1.146205,0.531308,street_music
7.244212,-0.864300,0.283114,-0.784811,-0.088584,-0.700730,-0.100128,-0.218056,-0.425916,-0.259032,-0.059732,0.002460,-0.046855,7.473246,1.230765,0.681741,0.873858,0.478863,0.808985,0.483723,0.479490,0.553080,0.452155,0.376093,0.422048,0.397816,street_music
6.594392,-1.089221,0.379723,-0.911402,-0.384798,-1.017161,-0.000844,-0.076351,-0.423021,-0.346892,0.053657,0.092275,-0.009613,6.816475,1.302568,0.865188,1.008638,0.668134,1.089143,0.387619,0.455079,0.569199,0.542550,0.397612,0.433854,0.406430,street_music
7.681577,-1.645534,-0.090144,-0.571916,-0.124999,-0.892254,-0.137651,-0.188783,-0.234594,-0.058322,0.068889,0.147525,0.089219,7.661301,2.016966,0.657058,0.841919,0.524961,1.072196,0.462435,0.460176,0.523548,0.441690,0.424917,0.414524,0.440371,street_music
7.585925,-0.109859,0.713717,-0.721112,-0.201685,-0.576499,-0.395692,-0.432489,-0.765888,-0.297826,-0.002784,-0.018957,-0.055239,7.796169,1.122631,1.075210,0.959053,0.489442,0.778046,0.628023,0.698136,0.867852,0.507459,0.416156,0.457569,0.418930,street_music
8.130888,-0.162460,0.181974,-0.848295,-0.425422,-0.964614,-0.522947,-0.789155,-0.865250,-0.537079,-0.284886,-0.232764,-0.233562,8.447782,0.784032,0.732927,0.867712,0.586626,0.863282,0.589170,0.746749,0.806665,0.483066,0.482341,0.467270,0.407966,street_music
7.569480,-0.507934,0.422643,-0.593308,0.192894,-0.492675,-0.325304,-0.530583,-0.520141,-0.378711,-0.172436,-0.312739,-0.143231,7.970064,0.970010,1.017439,0.802428,0.667811,0.549956,0.665951,0.667198,0.655890,0.486671,0.524494,0.467206,0.394429,street_music
5.689324,-2.914692,0.343625,-1.535179,-0.641547,-1.440182,-1.308315,-0.662778,-0.973026,-1.006756,-0.679879,-0.582335,-0.466269,6.265437,2.629912,1.045101,1.240166,0.533745,1.059431,0.973310,0.440212,0.685552,0.694160,0.416834,0.413181,0.346761,street_music
5.841203,-2.906679,0.158280,-1.436911,-0.610650,-1.526212,-1.263584,-0.691101,-1.082770,-0.988150,-0.461778,-0.511564,-0.527362,6.455518,2.505998,0.913217,1.075091,0.531852,1.105504,0.893225,0.444469,0.736205,0.593458,0.458021,0.390670,0.371174,street_music
5.453599,-3.035485,0.392499,-1.416033,-0.582295,-1.302994,-1.054445,-0.738177,-1.074387,-0.871159,-0.385463,-0.619371,-0.515159,6.056198,2.635596,1.060819,1.032062,0.426634,0.892547,0.679383,0.476073,0.679837,0.533269,0.427016,0.397365,0.365891,street_music
4.928790,-2.678394,0.640823,-1.539725,-0.562191,-1.186625,-1.016455,-0.723732,-0.988788,-0.936369,-0.553241,-0.656134,-0.442442,5.485004,2.400651,1.208207,1.208571,0.454048,0.853071,0.692794,0.486207,0.657397,0.606672,0.372330,0.409990,0.323749,street_music
4.356260,-2.205355,0.761748,-1.568688,-0.548853,-1.111443,-1.072277,-0.844294,-0.886136,-0.949506,-0.556552,-0.600821,-0.434890,4.930977,1.910166,1.308652,1.222832,0.472723,0.803347,0.765711,0.563176,0.597546,0.619975,0.366095,0.381466,0.339018,street_music
4.775835,-2.138210,0.562060,-1.654621,-0.527553,-1.236455,-1.170172,-0.791015,-0.830741,-0.905681,-0.562927,-0.576470,-0.468008,5.391572,1.808615,1.191287,1.272712,0.444687,0.877203,0.831137,0.512188,0.524672,0.574112,0.366025,0.371154,0.302543,street_music
6.688237,-1.687068,1.771468,-0.174146,0.226541,0.049340,-0.307719,0.176824,0.263681,0.245840,-0.032846,-0.440084,-0.645527,7.409002,1.271609,2.474322,0.683915,1.001331,0.803010,0.604733,1.007503,1.004031,0.985716,0.791274,0.642340,0.520949,street_music
6.575234,-1.556359,1.937253,-0.147454,0.303718,0.065242,-0.211326,0.254908,0.212921,0.067283,-0.086369,-0.509866,-0.549864,7.188394,1.173370,2.545377,0.630000,0.944977,0.723860,0.562030,0.943298,0.859865,0.755967,0.663408,0.519534,0.498867,street_music
6.031654,-1.793699,1.995882,-0.276074,0.195713,0.060211,-0.227637,0.084182,0.239399,0.050582,-0.077978,-0.393212,-0.506652,6.666771,1.546543,2.588083,0.512354,0.815522,0.691798,0.540175,0.749380,0.869232,0.701036,0.616076,0.475589,0.462603,street_music
6.499239,-1.873767,2.177813,-0.036983,0.147441,0.238138,-0.239667,0.093940,0.196356,0.082467,-0.293219,-0.453600,-0.432071,7.080464,1.663615,2.712899,0.669049,0.731268,0.786904,0.458049,0.649652,0.769994,0.700242,0.445090,0.413328,0.472886,street_music
6.480741,-1.886340,1.568796,0.220142,0.253431,-0.044398,-0.318099,0.173716,0.274289,0.152302,-0.184607,-0.494965,-0.700091,7.247097,1.384112,2.330404,1.050025,1.060703,0.774191,0.640190,0.962407,1.052340,0.949301,0.629312,0.477624,0.562772,street_music
5.858494,-2.492445,1.644203,-0.343393,0.308311,0.014285,-0.258819,-0.028488,0.137518,0.029979,0.061245,-0.046608,-0.049944,5.965892,2.516351,1.782275,0.530514,0.543893,0.419527,0.514818,0.443886,0.427444,0.366350,0.416303,0.363579,0.366218,street_music
